```csv
Topic,Name,Link,Difficulty
Binary Indexed Tree / Segment Tree,Count of Smaller Numbers After Self,https://leetcode.com/problems/count-of-smaller-numbers-after-self/,Hard
Maths / Geometry,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy
Maths / Geometry,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium
Maths / Geometry,Factorial Trailing Zeroes,https://leetcode.com/problems/factorial-trailing-zeroes/,Medium
Maths / Geometry,Valid Square,https://leetcode.com/problems/valid-square/,Medium
Maths / Geometry,Minimum Area Rectangle II,https://leetcode.com/problems/minimum-area-rectangle-ii/,Medium
Maths / Geometry,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/,Hard
Line Sweep,Minimum Interval to Include Each Query,https://leetcode.com/problems/minimum-interval-to-include-each-query/,Hard
Line Sweep,The Skyline Problem,https://leetcode.com/problems/the-skyline-problem/,Hard
Suffix Array,Longest Duplicate Substring,https://leetcode.com/problems/longest-duplicate-substring/,Hard
```
